published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-18,2026-08-18 14:00:00,8.94,8.94,8.92,8.92,-0.22,1470.0,13150.6,-1
2026-08-18,2026-08-18 15:00:00,8.92,9.1,8.56,8.92,0.0,1470.0,13150.6,0
2026-08-19,2026-08-19 11:00:00,8.9,9.09,8.85,8.93,0.34,2270.0,20685.9,1
2026-08-19,2026-08-19 12:00:00,8.93,8.96,8.93,8.96,0.34,2270.0,20685.9,1
2026-08-19,2026-08-19 13:00:00,8.96,8.98,8.96,8.98,0.22,2270.0,20685.9,1
2026-08-19,2026-08-19 14:00:00,8.98,9.01,8.98,9.01,0.33,2270.0,20685.9,1
2026-08-19,2026-08-19 15:00:00,9.01,9.27,8.8,9.01,0.0,2270.0,20685.9,0
2026-08-20,2026-08-20 11:00:00,8.9,9.03,8.9,8.92,0.22,2200.0,19757.4,1
2026-08-20,2026-08-20 12:00:00,8.92,8.94,8.92,8.94,0.22,2200.0,19757.4,1
2026-08-20,2026-08-20 13:00:00,8.94,8.96,8.94,8.96,0.22,2200.0,19757.4,1
2026-08-20,2026-08-20 14:00:00,8.96,8.98,8.96,8.98,0.22,2200.0,19757.4,1
2026-08-20,2026-08-20 15:00:00,8.98,9.15,8.9,8.98,0.0,2200.0,19757.4,0
2026-08-21,2026-08-21 11:00:00,9.0,9.07,8.87,8.98,-0.22,980.0,8762.0,-1
2026-08-21,2026-08-21 12:00:00,8.98,8.98,8.96,8.96,-0.22,980.0,8762.0,-1
2026-08-21,2026-08-21 13:00:00,8.96,8.96,8.94,8.94,-0.22,980.0,8762.0,-1
2026-08-21,2026-08-21 14:00:00,8.94,8.94,8.92,8.92,-0.22,980.0,8762.0,-1
2026-08-21,2026-08-21 15:00:00,8.92,9.15,8.73,8.92,0.0,980.0,8762.0,0
2026-08-24,2026-08-24 11:00:00,8.9,8.96,8.79,8.92,0.22,50920.0,458692.8,1
2026-08-24,2026-08-24 12:00:00,8.92,8.93,8.92,8.93,0.11,50920.0,458692.8,1
2026-08-24,2026-08-24 13:00:00,8.93,8.95,8.93,8.95,0.22,50920.0,458692.8,1
2026-08-24,2026-08-24 14:00:00,8.95,8.96,8.95,8.96,0.11,50920.0,458692.8,1
2026-08-24,2026-08-24 15:00:00,8.96,9.01,8.68,8.96,0.0,50920.0,458692.8,0
2026-08-25,2026-08-25 12:00:00,8.71,9.19,8.71,9.15,2.12,15100.0,136798.0,1
2026-08-25,2026-08-25 13:00:00,8.71,9.19,8.71,9.15,2.12,15100.0,136798.0,1
2026-08-25,2026-08-25 14:00:00,8.71,9.19,8.71,9.15,2.12,15100.0,136798.0,1
2026-08-26,2026-08-26 13:00:00,8.88,8.94,8.88,8.93,-2.4,3700.0,33028.0,1
