published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-25,2024-04-25 12:00:00,1094.0,1094.0,1093.0,1093.0,-0.09,100.0,109420.0,-1
2024-04-25,2024-04-25 13:00:00,1093.0,1093.0,1092.0,1092.0,-0.09,100.0,109420.0,-1
2024-04-25,2024-04-25 14:00:00,1092.0,1092.0,1091.0,1091.0,-0.09,100.0,109420.0,-1
2024-04-25,2024-04-25 15:00:00,1091.0,1095.0,1091.0,1091.0,0.0,100.0,109420.0,0
2024-04-28,2024-04-28 11:00:00,1090.0,1101.0,1085.0,1095.5,0.5,468.0,509918.0,1
2024-04-28,2024-04-28 12:00:00,1095.5,1101.0,1095.5,1101.0,0.5,468.0,509918.0,1
2024-04-28,2024-04-28 13:00:00,1101.0,1106.5,1101.0,1106.5,0.5,468.0,509918.0,1
2024-04-28,2024-04-28 14:00:00,1106.5,1112.0,1106.5,1112.0,0.5,468.0,509918.0,1
2024-04-28,2024-04-28 15:00:00,1112.0,1112.0,1080.0,1112.0,0.0,468.0,509918.0,0
2024-04-29,2024-04-29 11:00:00,1128.0,1131.1,1128.0,1128.5,0.04,90.0,101811.0,1
2024-04-29,2024-04-29 12:00:00,1128.5,1129.0,1128.5,1129.0,0.04,90.0,101811.0,1
2024-04-29,2024-04-29 13:00:00,1129.0,1129.5,1129.0,1129.5,0.04,90.0,101811.0,1
2024-04-29,2024-04-29 14:00:00,1129.5,1130.0,1129.5,1130.0,0.04,90.0,101811.0,1
2024-04-29,2024-04-29 15:00:00,1130.0,1134.2,1128.0,1130.0,0.0,90.0,101811.0,0
2024-04-30,2024-04-30 11:00:00,1110.5,1110.5,1110.5,1110.5,0.0,5.0,5552.5,0
2024-04-30,2024-04-30 12:00:00,1110.5,1110.5,1110.5,1110.5,0.0,5.0,5552.5,0
2024-04-30,2024-04-30 13:00:00,1110.5,1110.5,1110.5,1110.5,0.0,5.0,5552.5,0
2024-04-30,2024-04-30 14:00:00,1110.5,1110.5,1110.5,1110.5,0.0,5.0,5552.5,0
2024-04-30,2024-04-30 15:00:00,1110.5,1110.5,1110.5,1110.5,0.0,5.0,5552.5,0
2024-05-05,2024-05-05 11:00:00,1125.0,1125.0,1125.0,1125.0,0.0,11.0,12375.0,0
2024-05-05,2024-05-05 12:00:00,1125.0,1125.0,1125.0,1125.0,0.0,11.0,12375.0,0
2024-05-05,2024-05-05 13:00:00,1125.0,1125.0,1125.0,1125.0,0.0,11.0,12375.0,0
2024-05-05,2024-05-05 14:00:00,1125.0,1125.0,1125.0,1125.0,0.0,11.0,12375.0,0
2024-05-05,2024-05-05 15:00:00,1125.0,1125.0,1125.0,1125.0,0.0,11.0,12375.0,0
2024-05-06,2024-05-06 11:00:00,1115.0,1115.0,1113.5,1114.25,-0.07,15.0,16695.0,-1
2024-05-06,2024-05-06 12:00:00,1114.25,1114.25,1113.5,1113.5,-0.07,15.0,16695.0,-1
2024-05-06,2024-05-06 13:00:00,1113.5,1113.5,1112.75,1112.75,-0.07,15.0,16695.0,-1
2024-05-06,2024-05-06 14:00:00,1112.75,1112.75,1112.0,1112.0,-0.07,15.0,16695.0,-1
2024-05-06,2024-05-06 15:00:00,1112.0,1115.0,1112.0,1112.0,0.0,15.0,16695.0,0
2024-05-08,2024-05-08 11:00:00,1090.1,1090.1,1090.1,1090.1,0.0,5.0,5450.5,0
2024-05-08,2024-05-08 12:00:00,1090.1,1090.1,1090.1,1090.1,0.0,5.0,5450.5,0
2024-05-08,2024-05-08 13:00:00,1090.1,1090.1,1090.1,1090.1,0.0,5.0,5450.5,0
2024-05-08,2024-05-08 14:00:00,1090.1,1090.1,1090.1,1090.1,0.0,5.0,5450.5,0
2024-05-08,2024-05-08 15:00:00,1090.1,1090.1,1090.1,1090.1,0.0,5.0,5450.5,0
2024-05-09,2024-05-09 11:00:00,1111.9,1111.9,1111.9,1111.9,0.0,10.0,11119.0,0
2024-05-09,2024-05-09 12:00:00,1111.9,1111.9,1111.9,1111.9,0.0,10.0,11119.0,0
2024-05-09,2024-05-09 13:00:00,1111.9,1111.9,1111.9,1111.9,0.0,10.0,11119.0,0
2024-05-09,2024-05-09 14:00:00,1111.9,1111.9,1111.9,1111.9,0.0,10.0,11119.0,0
2024-05-09,2024-05-09 15:00:00,1111.9,1111.9,1111.9,1111.9,0.0,10.0,11119.0,0
2024-05-13,2024-05-13 11:00:00,1105.7,1105.7,1105.7,1105.7,0.0,5.0,5528.5,0
2024-05-13,2024-05-13 12:00:00,1105.7,1105.7,1105.7,1105.7,0.0,5.0,5528.5,0
2024-05-13,2024-05-13 13:00:00,1105.7,1105.7,1105.7,1105.7,0.0,5.0,5528.5,0
