published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-14,2024-01-14 12:00:00,950.0,950.0,950.0,950.0,0.0,5.0,4750.0,0
2024-01-14,2024-01-14 13:00:00,950.0,950.0,950.0,950.0,0.0,5.0,4750.0,0
2024-01-14,2024-01-14 14:00:00,950.0,950.0,950.0,950.0,0.0,5.0,4750.0,0
2024-01-14,2024-01-14 15:00:00,950.0,950.0,950.0,950.0,0.0,5.0,4750.0,0
2024-01-25,2024-01-25 11:00:00,953.0,953.0,953.0,953.0,0.0,5.0,4764.1,0
2024-01-25,2024-01-25 12:00:00,953.0,953.0,953.0,953.0,0.0,5.0,4764.1,0
2024-01-25,2024-01-25 13:00:00,953.0,953.0,953.0,953.0,0.0,5.0,4764.1,0
2024-01-25,2024-01-25 14:00:00,953.0,953.0,953.0,953.0,0.0,5.0,4764.1,0
2024-01-25,2024-01-25 15:00:00,953.0,953.0,953.0,953.0,0.0,5.0,4764.1,0
2024-01-29,2024-01-29 11:00:00,938.0,938.0,938.0,938.0,0.0,5.0,4690.0,0
2024-01-29,2024-01-29 12:00:00,938.0,938.0,938.0,938.0,0.0,5.0,4690.0,0
2024-01-29,2024-01-29 13:00:00,938.0,938.0,938.0,938.0,0.0,5.0,4690.0,0
2024-01-29,2024-01-29 14:00:00,938.0,938.0,938.0,938.0,0.0,5.0,4690.0,0
2024-01-29,2024-01-29 15:00:00,938.0,938.0,938.0,938.0,0.0,5.0,4690.0,0
2024-01-30,2024-01-30 11:00:00,955.0,955.0,955.0,955.0,0.0,5.0,4775.0,0
2024-01-30,2024-01-30 12:00:00,955.0,955.0,955.0,955.0,0.0,5.0,4775.0,0
2024-01-30,2024-01-30 13:00:00,955.0,955.0,955.0,955.0,0.0,5.0,4775.0,0
2024-01-30,2024-01-30 14:00:00,955.0,955.0,955.0,955.0,0.0,5.0,4775.0,0
2024-01-30,2024-01-30 15:00:00,955.0,955.0,955.0,955.0,0.0,5.0,4775.0,0
2024-02-01,2024-02-01 11:00:00,974.0,977.0,974.0,975.5,0.15,10.0,9770.0,1
2024-02-01,2024-02-01 12:00:00,975.5,977.0,975.5,977.0,0.15,10.0,9770.0,1
2024-02-01,2024-02-01 13:00:00,977.0,978.5,977.0,978.5,0.15,10.0,9770.0,1
2024-02-01,2024-02-01 14:00:00,978.5,980.0,978.5,980.0,0.15,10.0,9770.0,1
2024-02-01,2024-02-01 15:00:00,980.0,980.0,974.0,980.0,0.0,10.0,9770.0,0
2024-02-06,2024-02-06 11:00:00,990.0,990.0,990.0,990.0,0.0,2.0,1980.0,0
2024-02-06,2024-02-06 12:00:00,990.0,990.0,990.0,990.0,0.0,2.0,1980.0,0
2024-02-06,2024-02-06 13:00:00,990.0,990.0,990.0,990.0,0.0,2.0,1980.0,0
2024-02-06,2024-02-06 14:00:00,990.0,990.0,990.0,990.0,0.0,2.0,1980.0,0
2024-02-06,2024-02-06 15:00:00,990.0,990.0,990.0,990.0,0.0,2.0,1980.0,0
2024-02-07,2024-02-07 11:00:00,972.0,972.0,972.0,972.0,0.0,5.0,4860.0,0
2024-02-07,2024-02-07 12:00:00,972.0,972.0,972.0,972.0,0.0,5.0,4860.0,0
2024-02-07,2024-02-07 13:00:00,972.0,972.0,972.0,972.0,0.0,5.0,4860.0,0
2024-02-07,2024-02-07 14:00:00,972.0,972.0,972.0,972.0,0.0,5.0,4860.0,0
2024-02-07,2024-02-07 15:00:00,972.0,972.0,972.0,972.0,0.0,5.0,4860.0,0
2024-02-14,2024-02-14 11:00:00,977.3,977.3,977.2,977.25,-0.01,10.0,9772.04,-1
2024-02-14,2024-02-14 12:00:00,977.25,977.25,977.2,977.2,-0.01,10.0,9772.04,-1
2024-02-14,2024-02-14 13:00:00,977.2,977.2,977.15,977.15,-0.01,10.0,9772.04,-1
2024-02-14,2024-02-14 14:00:00,977.15,977.15,977.1,977.1,-0.01,10.0,9772.04,-1
2024-02-14,2024-02-14 15:00:00,977.1,977.3,977.1,977.1,0.0,10.0,9772.04,0
2024-02-25,2024-02-25 11:00:00,976.0,976.0,976.0,976.0,0.0,2.0,1952.0,0
2024-02-25,2024-02-25 12:00:00,976.0,976.0,976.0,976.0,0.0,2.0,1952.0,0
2024-02-25,2024-02-25 13:00:00,976.0,976.0,976.0,976.0,0.0,2.0,1952.0,0
2024-02-25,2024-02-25 14:00:00,976.0,976.0,976.0,976.0,0.0,2.0,1952.0,0
2024-02-25,2024-02-25 15:00:00,976.0,976.0,976.0,976.0,0.0,2.0,1952.0,0
2024-03-03,2024-03-03 11:00:00,970.3,982.9,970.3,976.6,0.65,22.0,21760.9,1
2024-03-03,2024-03-03 12:00:00,976.6,982.9,976.6,982.9,0.65,22.0,21760.9,1
2024-03-03,2024-03-03 13:00:00,982.9,989.2,982.9,989.2,0.64,22.0,21760.9,1
2024-03-03,2024-03-03 14:00:00,989.2,995.5,989.2,995.5,0.64,22.0,21760.9,1
2024-03-03,2024-03-03 15:00:00,995.5,995.5,970.3,995.5,0.0,22.0,21760.9,0
2024-03-07,2024-03-07 11:00:00,983.2,983.2,983.2,983.2,0.0,5.0,4916.0,0
2024-03-07,2024-03-07 12:00:00,983.2,983.2,983.2,983.2,0.0,5.0,4916.0,0
2024-03-07,2024-03-07 13:00:00,983.2,983.2,983.2,983.2,0.0,5.0,4916.0,0
2024-03-07,2024-03-07 14:00:00,983.2,983.2,983.2,983.2,0.0,5.0,4916.0,0
2024-03-07,2024-03-07 15:00:00,983.2,983.2,983.2,983.2,0.0,5.0,4916.0,0
2024-03-10,2024-03-10 11:00:00,998.0,998.0,998.0,998.0,0.0,10.0,9980.0,0
2024-03-10,2024-03-10 12:00:00,998.0,998.0,998.0,998.0,0.0,10.0,9980.0,0
2024-03-10,2024-03-10 13:00:00,998.0,998.0,998.0,998.0,0.0,10.0,9980.0,0
2024-03-10,2024-03-10 14:00:00,998.0,998.0,998.0,998.0,0.0,10.0,9980.0,0
2024-03-10,2024-03-10 15:00:00,998.0,998.0,998.0,998.0,0.0,10.0,9980.0,0
2024-03-13,2024-03-13 11:00:00,998.0,998.0,998.0,998.0,0.0,5.0,4990.0,0
2024-03-13,2024-03-13 12:00:00,998.0,998.0,998.0,998.0,0.0,5.0,4990.0,0
2024-03-13,2024-03-13 13:00:00,998.0,998.0,998.0,998.0,0.0,5.0,4990.0,0
2024-03-13,2024-03-13 14:00:00,998.0,998.0,998.0,998.0,0.0,5.0,4990.0,0
2024-03-13,2024-03-13 15:00:00,998.0,998.0,998.0,998.0,0.0,5.0,4990.0,0
2024-03-14,2024-03-14 11:00:00,1017.9,1017.9,1017.9,1017.9,0.0,5.0,5089.5,0
2024-03-14,2024-03-14 12:00:00,1017.9,1017.9,1017.9,1017.9,0.0,5.0,5089.5,0
2024-03-14,2024-03-14 13:00:00,1017.9,1017.9,1017.9,1017.9,0.0,5.0,5089.5,0
2024-03-14,2024-03-14 14:00:00,1017.9,1017.9,1017.9,1017.9,0.0,5.0,5089.5,0
